vendedor,referencia_vendedor,fabricante,ref_fabricante,unidad_embalaje,descripcion,precio_unitario,fechaCompra,cantidad,total
AMIDATA S.A,483-8461,,,U,"Conector macho para PCB, Molex serie KK 254, Recta 2 pines 1 fila paso 2.54mm, Terminacion Soldada, Orificio Pasante",0.152,2019-07-08,250,38.0
AMIDATA S.A,1085562,,,U,"Conector Banana de Prueba, 2mm, Macho, 25 A, Contactos Chapados en Oro",2.35,2019-07-08,50,117.5
"VWR INTERNATIONAL EUROLAB,S.L.",478-5144,,,U,[EN]CAP FOR DEWAR 1+2L GSS1000W+GSS2000 1 * 1 UN,43.5,2019-07-03,1,43.5
"KAISER+KRAFT,S.A.",170132 49,,,U,"EUROKRAFT – Repisa, gris luminoso, A x P 450 x 170 mm",33.9,2019-06-28,1,33.9
"FARNELL COMPONENTS, SL",1211706,,,U,"Lamina de Conduccion Termica, 0.37 W/mK",1.37,2019-06-26,15,20.55
"FARNELL COMPONENTS, SL",1850037,,,U,"Disipador de Calor, Cuadrado, Para PGAs, 18.6 °C/W, PGA, 14 mm, 14 mm, 14 mm",0.9420000000000001,2019-06-26,15,14.129999999999999
"VWR INTERNATIONAL EUROLAB,S.L.",216-1868,,,U,"CRISTALIZADOR SIN PICO, CAPACIDAD 2 L. 1 * 1 UN",80.5,2019-06-26,3,241.5
AMIDATA S.A,237-0474,,,U,"Indicador de soporte para bombilla LED, Montaje en Panel 3 mm",2.63,2019-06-26,15,39.449999999999996
AMIDATA S.A,813-4889,,,U,"LED Broadcom, Montaje en orificio pasante, Azul, 470 nm, 40 mcd, 3,2 V, 40°, 3 mm (T-1) Codigo RS",0.501,2019-06-26,20,10.02
AMIDATA S.A,815-4379,,,U,"LED Wurth Elektronik, Montaje en orificio pasante, Rojo, 640 nm, 35 mcd, 2,6 V, 60°, Serie WL-TMRC, 3 mm (T-1) Codigo RS",0.134,2019-06-26,50,6.7
AMIDATA S.A,200-9942,,,U,"Barra roscada, RS PRO, Plano, Acero Inoxidable, M3, 1m",6.214,2019-06-20,5,31.07
"FERRETERIA MARANGES, S.A.",PERFILES,,,U,PLACA METACRILATO NEGRO 300X600X2,16.2,2019-06-20,1,16.2
"FERRETERIA MARANGES, S.A.",PERFILES,,,U,PLACA METACRILATO NEGRO 300X600X3,24.3,2019-06-20,1,24.3
"FERRETERIA MARANGES, S.A.",PERFILES,,,U,PLACA METACRILATO NEGRO 300X600X4,32.4,2019-06-20,1,32.4
AMIDATA S.A,197-5012,,,U,"Pintura con aerosol Jelt 5771, 400mL, Negro, Mate",16.35,2019-06-19,2,32.7
